DATE,Unemployment
12/1/67,4.3
1/1/68,4.9
2/1/68,5.1
3/1/68,4.6
4/1/68,4.2
5/1/68,4
6/1/68,6.2
7/1/68,5.7
8/1/68,5
9/1/68,5
10/1/68,4.5
11/1/68,4.5
12/1/68,3.8
1/1/69,4.5
2/1/69,4.6
3/1/69,4.3
4/1/69,4.3
5/1/69,4
6/1/69,5.9
7/1/69,5.1
8/1/69,5.1
9/1/69,5.3
10/1/69,4.9
11/1/69,4.4
12/1/69,3.7
1/1/70,4.8
2/1/70,5.2
3/1/70,5.3
4/1/70,5
5/1/70,5
6/1/70,6.8
7/1/70,6.4
8/1/70,6.4
9/1/70,6.8
10/1/70,6.3
11/1/70,6.7
12/1/70,5.8
1/1/71,6.8
2/1/71,6.9
3/1/71,6.8
4/1/71,6.5
5/1/71,6.2
6/1/71,7.9
7/1/71,7.6
8/1/71,7.5
9/1/71,7.5
10/1/71,6.7
11/1/71,6.8
12/1/71,5.8
1/1/72,6.8
2/1/72,6.5
3/1/72,6.5
4/1/72,6.2
5/1/72,6
6/1/72,7.8
7/1/72,7.5
8/1/72,7.2
9/1/72,7.3
10/1/72,6.6
11/1/72,6
12/1/72,5.3
1/1/73,6.3
2/1/73,6.3
3/1/73,5.9
4/1/73,5.6
5/1/73,5.2
6/1/73,6.9
7/1/73,6.5
8/1/73,6.3
9/1/73,6.5
10/1/73,5.5
11/1/73,5.7
12/1/73,5.3
1/1/74,6.5
2/1/74,6.4
3/1/74,6
4/1/74,5.4
5/1/74,5.7
6/1/74,7.3
7/1/74,7.2
8/1/74,6.8
9/1/74,7.6
10/1/74,6.9
11/1/74,7.6
12/1/74,7.3
1/1/75,9.7
2/1/75,9.5
3/1/75,9.5
4/1/75,8.9
5/1/75,9.1
6/1/75,10.1
7/1/75,9.7
8/1/75,9.6
9/1/75,9.6
10/1/75,9
11/1/75,8.6
12/1/75,8.2
1/1/76,9.3
2/1/76,9.1
3/1/76,8.5
4/1/76,7.9
5/1/76,7.4
6/1/76,9.1
7/1/76,9.2
8/1/76,9.4
9/1/76,9.2
10/1/76,8.6
11/1/76,8.3
12/1/76,7.7
1/1/77,8.8
2/1/77,8.8
3/1/77,8.5
4/1/77,7.7
5/1/77,7.3
6/1/77,9.1
7/1/77,8.4
8/1/77,8.6
9/1/77,8.6
10/1/77,7.8
11/1/77,7.9
12/1/77,6.8
1/1/78,7.8
2/1/78,7.3
3/1/78,7
4/1/78,6.6
5/1/78,6.7
6/1/78,7.9
7/1/78,8
8/1/78,7.6
9/1/78,7.6
10/1/78,6.6
11/1/78,6.7
12/1/78,6.3
1/1/79,7.1
2/1/79,7
3/1/79,6.6
4/1/79,6.3
5/1/79,6.3
6/1/79,7.5
7/1/79,7
8/1/79,7.5
9/1/79,7.1
10/1/79,6.9
11/1/79,6.4
12/1/79,6.2
1/1/80,7.1
2/1/80,7
3/1/80,6.6
4/1/80,6.6
5/1/80,7.2
6/1/80,8.2
7/1/80,8.2
8/1/80,8.1
9/1/80,7.6
10/1/80,7.7
11/1/80,7.4
12/1/80,7
1/1/81,8
2/1/81,7.7
3/1/81,7.4
4/1/81,7.1
5/1/81,7.5
6/1/81,8.3
7/1/81,8.2
8/1/81,8
9/1/81,8.4
10/1/81,8.3
11/1/81,8.2
12/1/81,7.8
1/1/82,8.7
2/1/82,8.9
3/1/82,8.7
4/1/82,8.7
5/1/82,9
6/1/82,9.7
7/1/82,10
8/1/82,9.9
9/1/82,9.8
10/1/82,9.9
11/1/82,9.9
12/1/82,9.6
1/1/83,10.4
2/1/83,10
3/1/83,9.6
4/1/83,9
5/1/83,9.2
6/1/83,10.4
7/1/83,9.4
8/1/83,9.4
9/1/83,9
10/1/83,8.5
11/1/83,7.9
12/1/83,7.5
1/1/84,8.2
2/1/84,7.9
3/1/84,7.7
4/1/84,7.4
5/1/84,7.4
6/1/84,7.8
7/1/84,8
8/1/84,8.2
9/1/84,7.7
10/1/84,7.7
11/1/84,7.1
12/1/84,6.7
1/1/85,7.8
2/1/85,7.5
3/1/85,7.4
4/1/85,7.1
5/1/85,7.5
6/1/85,7.9
7/1/85,7.9
8/1/85,7.7
9/1/85,7.7
10/1/85,7.2
11/1/85,6.9
12/1/85,6.5
1/1/86,7.2
2/1/86,7.6
3/1/86,7.2
4/1/86,6.9
5/1/86,7.1
6/1/86,7.7
7/1/86,7.3
8/1/86,7.3
9/1/86,7.3
10/1/86,6.9
11/1/86,6.6
12/1/86,5.8
1/1/87,6.8
2/1/87,6.7
3/1/87,6.5
4/1/87,5.9
5/1/87,6.1
6/1/87,6.4
7/1/87,6.4
8/1/87,6.3
9/1/87,6.4
10/1/87,6
11/1/87,5.8
12/1/87,5.2
1/1/88,6
2/1/88,6
3/1/88,5.5
4/1/88,5.3
5/1/88,5.5
6/1/88,5.8
7/1/88,6
8/1/88,5.8
9/1/88,5.8
10/1/88,5.3
11/1/88,5.1
12/1/88,4.7
1/1/89,5.5
2/1/89,5.2
3/1/89,5
4/1/89,4.9
5/1/89,5.2
6/1/89,6
7/1/89,6
8/1/89,5.7
9/1/89,5.5
10/1/89,5.3
11/1/89,5.2
12/1/89,4.9
1/1/90,5.5
2/1/90,5.5
3/1/90,5.1
4/1/90,5
5/1/90,5.2
6/1/90,5.5
7/1/90,5.9
8/1/90,5.9
9/1/90,5.9
10/1/90,5.6
11/1/90,5.6
12/1/90,5.4
1/1/91,6.3
2/1/91,6.3
3/1/91,6.2
4/1/91,5.8
5/1/91,6.4
6/1/91,6.9
7/1/91,6.8
8/1/91,6.8
9/1/91,6.5
10/1/91,6.5
11/1/91,6.4
12/1/91,6.3
1/1/92,6.9
2/1/92,7
3/1/92,6.7
4/1/92,6.5
5/1/92,6.8
6/1/92,7.7
7/1/92,7.8
8/1/92,7.6
9/1/92,7.4
10/1/92,6.7
11/1/92,6.7
12/1/92,6.6
1/1/93,7.3
